"SIdent";"Schlag.ID";"KID";"AUI.ID";"BFS.Nr";"Zone.Nr";"BF";"Schlagflaeche";"Menge.Produkt";"Rohleistung.total";"Rohleistung.aus.landwirtschaftlicher.Produktion";"Arbeitskräfte.Betrieb";"Hangbeiträge..2.v.2.";"Hangbeiträge..1.v.2..";"Tierhaltung";"Ausbildung.Betriebsleiter";"Tierbestand.total..im.Eigentum.";"Landwirtschaftliches.Einkommen..LE.";"Pflanzenbau";"Betriebseinkommen";"Dünger";"Sachkosten.Pflanzenbau";"Aktiven.Betrieb";"Alter.Betriebsleiter";"Fremdfinanzierungsgrad..Nenner.";"Fremdfinanzierungsgrad..Zähler.";"Mfungag";"Extenso";"Insektizid";"AIag";"HR";"Menge.Produkt.ha2";"Ext";"STIprob";"Kultur";"Kantonsnr.";"Gemeinde";"Region";"Datum";"Massnahmedetail.ID";"Kulturertrag";"Einheit.Produkt";"Jahr";"Arbeitskräfte.Betrieb.1";"Gesamteinkommen..GE.";"Höhe.über.Meer";"Direktzahlungen";"Pflanzenschutz";"Anlagevermögen";"Minsektag";"Mherbreduzag";"Herbizid";"Rest";"TL";"AIA";"PSMBez";"name";"maxUm";"max";"HL";"PSMIdent";"LN";"Einheit.Ertrag.ha";"Menge.Produkt.ha";"Zone";"Landwirtschaftliche.Nutzfläche";"Ausserlandwirtschaftliches.Einkommen";"Aktiven.total";"Hagelversicherung";"Mherbag";"Mtillag";"Fungizid";"HerbBio";"FL";"Massnahmeflaeche2";"AIAha";"STIQuotient";"P09";"P10";"P11";"P12";"P13";"AP";"P09.ha";"P10.ha";"P11.ha";"P12.ha";"P13.ha";"AP.ha";"Menge.ha_P";"Extag";"Kartoffeln";"Mais";"Obst";"UebrigesGetreide";"Winterweizen";"WinterweizenExt";"Flaeche";"Mtillagag";"notBioMittel";"BioMittel"
"1 UebrigesGetreide";"6EF75F0F-168D-4A24-BF0D-2FB13C";"Hoestar Getreide";1;356;31;31,71;0,8;1;250473,64;65366,4;1,18;0;NA;18597,85;4;1,1;66008,58;46768,55;108045,33;7418,75;21860,45;200119,26;56;200496,06;39194,65;0;0;0;0,75;0;1,25;0;0;"UebrigesGetreide";2;"Muri bei Bern";"Tal";"20.04.2009";"D9C89DCD-DE85-4265-A17E-D074BF";55;"kg";2009;1,18;102019,03;570;81408,25;4768,15;142914;0;0;1;0;0,10346503166404;0,75;"Hoestar";"Hoestar";0,04;40;0,0285714285714286;"30248 2";31,71;"dt";1,25;31;31,71;36010,45;200496,06;0;0;0;0;0;0,338273615715171;0,8;0,9375;31,25;1567;1650;1570;1563;1563;1567;62,68;57,75;55;125;84;50,144;0,0383333333333333;0;0;0;0;1;0;0;0,8;0;0;0
"1 WinterweizenExt";"6D8ED3D4-7416-42D4-9CFE-B6D5B4";"Hoestar Getreide";1;356;31;31,71;2,3;1;250473,64;65366,4;1,18;0;NA;18597,85;4;1,1;66008,58;46768,55;108045,33;7418,75;21860,45;200119,26;56;200496,06;39194,65;0;0;0;0,75;0;0,434782608695652;0;0;"WinterweizenExt";2;"Muri bei Bern";"Tal";"08.04.2009";"4BCB598F-7BF8-4CE6-9259-099374";60;"kg";2009;1,18;102019,03;570;81408,25;4768,15;142914;0;0;1;0;0,10346503166404;0,75;"Hoestar";"Hoestar";0,04;40;0,0285714285714286;"30248 2";31,71;"dt";0,434782609;31;31,71;36010,45;200496,06;0;1;0;0;0;0,338273615715171;2,3;0,326086956521739;10,8695652173913;1567;1650;1570;1563;1563;1567;62,68;57,75;55;125;84;144,164;0,0383333333333333;0;0;0;0;0;0;1;6,2;0;0;0
"1 WinterweizenExt";"6D8ED3D4-7416-42D4-9CFE-B6D5B4";"Hoestar Getreide";1;356;31;31,71;2,3;1;250473,64;65366,4;1,18;0;NA;18597,85;4;1,1;66008,58;46768,55;108045,33;7418,75;21860,45;200119,26;56;200496,06;39194,65;0;0;0;0,75;0;0,434782608695652;0;0;"WinterweizenExt";2;"Muri bei Bern";"Tal";"20.04.2009";"0C988809-122F-431F-934C-CF11F4";60;"kg";2009;1,18;102019,03;570;81408,25;4768,15;142914;0;0;1;0;0,10346503166404;0,75;"Hoestar";"Hoestar";0,04;40;0,0285714285714286;"30248 2";31,71;"dt";0,434782609;31;31,71;36010,45;200496,06;0;1;0;0;0;0,338273615715171;2,3;0,326086956521739;10,8695652173913;1567;1650;1570;1563;1563;1567;62,68;57,75;55;125;84;144,164;0,0383333333333333;0;0;0;0;0;0;1;6,2;0;0;0
"10 UebrigesGetreide";"CD2B9833-BDA9-4C22-88A2-AC816D";"Chlorothalonil 500 allg.";10;354;31;64,55;3,76;4,7;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,5;270;1,25;2;0;"UebrigesGetreide";2;"Kirchlindach";"Tal";"07.06.2009";"A9460F08-CB85-4D6C-B76F-400521";106;"l";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;0;0;0,139801176375499;2,35;"Chlorothalonil 500";"Chlorothalonil 500";NA;NA;0,571428571428571;"31485 1";46,72;"dt";1,25;31;47,71;0;2246085,36;1078;1;1;1;1;0,0997307286443546;3,76;0,625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;3,76;1;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Betron WDG Winterweizen";10;354;31;64,55;3,38;5,07;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,7;10;1,5;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"09.04.2009";"6748AA0B-7C03-478F-AF1D-C15940";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0326564947455472;3,549;"Betron WDG";"Betron WDG";NA;NA;0,0285714285714286;"30089 2";46,72;"dt";1,5;31;47,71;0;2246085,36;1078;2;1;0;0;0,299695778400082;3,38;1,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Venzar Winterweizen";10;354;31;64,55;3,38;0,338;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,8;0;0,1;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"09.04.2009";"8D05F8EF-014F-4D76-83CB-D54BFA";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,079645609060688;0,2704;"Venzar";"Venzar";NA;NA;0;"30479 2";46,72;"dt";0,1;31;47,71;0;2246085,36;1078;2;1;0;0;0,0914915552210705;3,38;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Betron WDG Winterweizen";10;354;31;64,55;3,38;5,07;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,7;10;1,5;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"14.04.2009";"6D2A0720-09B3-44D1-B63F-19FF57";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0326564947455472;3,549;"Betron WDG";"Betron WDG";NA;NA;0,0285714285714286;"30089 2";46,72;"dt";1,5;31;47,71;0;2246085,36;1078;2;1;0;0;0,299695778400082;3,38;1,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Beta Star Winterweizen";10;354;31;64,55;3,38;5,07;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,1802;10;1,5;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"14.04.2009";"1BDA8A61-9724-4081-A7B4-EF88C6";980;"l";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0302709166627831;0,913614;"Beta Star";"Beta Star";NA;NA;0;"30829 1";46,72;"dt";1,5;31;47,71;0;2246085,36;1078;2;1;0;0;0,128316945029877;3,38;0,2703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Venzar Winterweizen";10;354;31;64,55;3,38;0,338;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,8;0;0,1;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"14.04.2009";"60563EEE-89AA-4ECD-BB6E-C7A96D";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,079645609060688;0,2704;"Venzar";"Venzar";NA;NA;0;"30479 2";46,72;"dt";0,1;31;47,71;0;2246085,36;1078;2;1;0;0;0,0914915552210705;3,38;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Beta Star Winterweizen";10;354;31;64,55;3,38;5,07;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,1802;10;1,5;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"09.04.2009";"B3436242-7000-454A-B613-5FEEF0";980;"l";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0302709166627831;0,913614;"Beta Star";"Beta Star";NA;NA;0;"30829 1";46,72;"dt";1,5;31;47,71;0;2246085,36;1078;2;1;0;0;0,128316945029877;3,38;0,2703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
