AUI-ID;Buchstellennummer;Buchhaltungsnummer;AUI Betriebsnummer;GueltigAbJahr;GueltigBisJahr
1;101;1151;10100001151;0;9999
2;101;1248;10100001248;0;9999
3;101;1252;10100001252;0;9999
4;101;1392;10100001392;0;9999
5;101;1445;10100001445;0;2016
5;500;23000140;50023000140;2017;9999
6;101;1595;10100001595;0;2016
6;500;23000141;50023000141;2017;9999
7;101;1633;10100001633;0;9999
8;101;48900;10100048900;0;9999
9;101;91095;10100091095;0;9999
10;101;91571;10100091571;0;9999
11;102;2050;10200002050;0;9999
12;102;2133;10200002133;0;2017
12;102;52063;10200052063;2018;9999
13;102;2162;10200002162;0;9999
14;102;2248;10200002248;0;2010
14;102;2560;10200002560;2011;9999
15;102;2260;10200002260;0;9999
16;102;2280;10200002280;0;9999
17;102;2299;10200002299;0;9999
18;102;2300;10200002300;0;9999
19;102;2304;10200002304;0;9999
20;102;2312;10200002312;0;9999
21;102;2324;10200002324;0;2013
21;102;2583;10200002583;2014;9999
22;102;2328;10200002328;0;2012
22;102;23281;10200023281;2013;9999
23;102;2380;10200002380;0;9999
24;102;24541;10200024541;0;2009
24;102;2454;10200002454;2010;9999
25;102;2461;10200002461;0;9999
26;102;123451;10200123451;0;2009
26;102;2490;10200002490;2010;9999
27;102;2491;10200002491;0;9999
28;102;2509;10200002509;0;9999
29;102;2517;10200002517;0;9999
30;102;2518;10200002518;0;9999
31;102;2541;10200002541;0;9999
32;102;2545;10200002545;0;9999
33;102;2549;10200002549;0;9999
34;102;2550;10200002550;0;9999
35;102;2553;10200002553;0;9999
37;102;2900;10200002900;0;2017
37;102;92900;10200092900;2018;9999
39;102;49529;10200049529;0;9999
40;102;49709;10200049709;0;9999
41;102;50203;10200050203;0;9999
42;102;50694;10200050694;0;9999
43;102;50716;10200050716;0;9999
45;103;3001;10300003001;0;9999
46;103;3195;10300003195;0;9999
47;103;3333;10300003333;0;9999
48;103;3379;10300003379;0;9999
49;103;3469;10300003469;0;9999
50;103;3532;10300003532;0;2016
50;103;67247;10300067247;2017;9999
51;103;3546;10300003546;0;9999
52;103;3757;10300003757;0;9999
53;103;3770;10300003770;0;9999
54;103;43107;10300043107;0;9999
55;103;43152;10300043152;0;9999
56;103;52076;10300052076;0;9999
57;103;53285;10300053285;0;9999
58;103;54306;10300054306;0;9999
59;103;56436;10300056436;0;9999
60;103;56544;10300056544;0;9999
61;103;58629;10300058629;0;9999
62;104;4248;10400004248;0;9999
63;104;4709;10400004709;0;9999
64;104;4894;10400004894;0;9999
65;104;4913;10400004913;0;9999
66;104;4922;10400004922;0;9999
67;121;54023;12100054023;0;2009
67;104;4940;10400004940;2010;9999
68;104;47954;10400047954;0;9999
69;105;5013;10500005013;0;9999
70;105;5027;10500005027;0;9999
71;105;5032;10500005032;0;9999
72;105;5069;10500005069;0;9999
73;105;5105;10500005105;0;2013
73;105;5106;10500005106;2014;9999
74;105;5153;10500005153;0;9999
75;105;5160;10500005160;0;9999
76;105;6021;10500006021;0;2016
76;406;3014;40600003014;2017;9999
77;105;6030;10500006030;0;9999
78;105;6047;10500006047;0;9999
79;105;6084;10500006084;0;9999
80;105;6098;10500006098;0;9999
81;105;7001;10500007001;0;9999
82;105;7027;10500007027;0;9999
83;105;7030;10500007030;0;9999
84;105;73183;10500073183;0;9999
85;110;10059;11000010059;0;9999
86;110;10067;11000010067;0;9999
87;110;10071;11000010071;0;9999
88;110;10107;11000010107;0;9999
89;110;10108;11000010108;0;2009
89;110;10796;11000010796;2010;9999
90;110;10142;11000010142;0;9999
91;110;10185;11000010185;0;9999
92;110;10358;11000010358;0;9999
93;110;10367;11000010367;0;9999
94;110;10405;11000010405;0;9999
95;110;10413;11000010413;0;9999
96;110;10507;11000010507;0;9999
97;110;10537;11000010537;0;9999
98;110;10542;11000010542;0;9999
99;110;10679;11000010679;0;9999
100;110;10694;11000010694;0;9999
101;110;10704;11000010704;0;9999
102;110;10721;11000010721;0;9999
103;110;10732;11000010732;0;9999
104;110;10746;11000010746;0;9999
105;110;10768;11000010768;0;9999
106;110;10779;11000010779;0;9999
107;110;10789;11000010789;0;9999
108;110;10792;11000010792;0;9999
110;111;11215;11100011215;0;9999
111;111;11293;11100011293;0;9999
112;111;11346;11100011346;0;9999
113;111;11354;11100011354;0;9999
114;111;11356;11100011356;0;9999
115;111;11364;11100011364;0;9999
116;111;11421;11100011421;0;9999
117;111;11517;11100011517;0;9999
118;111;11592;11100011592;0;9999
119;111;11643;11100011643;0;9999
120;111;50411;11100050411;0;9999
121;111;61583;11100061583;0;9999
122;112;12286;11200012286;0;9999
123;112;12567;11200012567;0;9999
124;112;12701;11200012701;0;2015
124;405;12701;40500012701;2016;9999
125;112;12738;11200012738;0;9999
126;112;12784;11200012784;0;9999
127;112;12793;11200012793;0;9999
128;112;12868;11200012868;0;2015
128;405;12868;40500012868;2016;9999
129;112;12878;11200012878;0;9999
130;112;42615;11200042615;0;9999
133;113;13064;11300013064;0;2015
133;113;1473;11300001473;2016;9999
134;113;13142;11300013142;0;2013
134;113;13391;11300013391;2012;2015
134;113;4307;11300004307;2016;9999
135;113;13153;11300013153;0;2015
135;113;1142;11300001142;2016;9999
136;113;13160;11300013160;0;2015
136;113;1355;11300001355;2016;9999
137;113;13173;11300013173;0;2015
137;113;1252;11300001252;2016;9999
138;113;13175;11300013175;0;2015
138;113;1692;11300001692;2016;9999
139;113;13207;11300013207;0;2015
139;113;1524;11300001524;2016;9999
140;113;13253;11300013253;0;2015
140;113;1691;11300001691;2016;9999
141;113;13275;11300013275;0;2015
141;113;3062;11300003062;2016;9999
142;113;13297;11300013297;0;2015
142;113;1527;11300001527;2016;9999
143;113;13316;11300013316;0;2015
143;113;1038;11300001038;2016;9999
144;113;13321;11300013321;0;2015
144;113;2180;11300002180;2016;9999
145;113;13334;11300013334;0;9999
146;113;13344;11300013344;0;2015
146;113;2012;11300002012;2016;9999
147;113;13358;11300013358;0;2015
147;113;1424;11300001424;2016;9999
148;113;13359;11300013359;0;9999
149;113;113368;11300113368;0;2009
149;113;13368;11300013368;2010;9999
150;113;13373;11300013373;0;9999
151;113;13419;11300013419;0;2015
151;113;2032;11300002032;2016;9999
153;115;15038;11500015038;0;2015
153;405;15038;40500015038;2016;9999
154;115;15053;11500015053;0;2009
154;116;15053;11600015053;2013;2013
154;112;15053;11200015053;2010;9999
155;115;15070;11500015070;0;2015
155;405;15070;40500015070;2016;9999
156;115;15086;11500015086;0;2015
156;405;15086;40500015086;2016;9999
157;115;15161;11500015161;0;9999
158;116;12207;11600012207;0;9999
159;116;15183;11600015183;0;2015
159;405;15183;40500015183;2016;9999
160;116;16019;11600016019;0;9999
161;116;16369;11600016369;0;2016
161;405;16369;40500016369;2017;9999
162;116;16479;11600016479;0;2016
162;405;16479;40500016479;2017;9999
163;116;16501;11600016501;0;9999
164;116;16505;11600016505;0;2016
164;405;16505;40500016505;2017;9999
165;116;16511;11600016511;0;9999
166;116;46326;11600046326;0;9999
167;116;46631;11600046631;0;9999
168;117;17220;11700017220;0;9999
169;117;17231;11700017231;0;2013
169;117;17234;11700017234;2014;9999
170;121;12140;12100012140;0;2012
170;105;6130;10500006130;2013;2016
170;406;3031;40600003031;2017;9999
171;121;20125;12100020125;0;9999
172;121;20129;12100020129;0;2010
172;338;20129;33800020129;2011;9999
173;121;20234;12100020234;0;9999
174;121;202371;12100202371;2011;2011
174;121;20237;12100020237;0;9999
175;121;20244;12100020244;0;2016
175;406;3045;40600003045;2017;9999
176;121;20257;12100020257;0;2012
176;105;6119;10500006119;2013;9999
177;121;20285;12100020285;0;9999
178;121;20302;12100020302;0;9999
179;121;20309;12100020309;0;9999
180;121;203641;12100203641;2011;2011
180;121;20364;12100020364;0;9999
181;121;76053;12100076053;0;2010
181;121;20423;12100020423;2011;9999
182;121;44092;12100044092;0;2014
182;105;6134;10500006134;2015;2016
182;406;3004;40600003004;2017;9999
184;121;56058;12100056058;0;9999
185;121;65060;12100065060;0;9999
186;121;66090;12100066090;0;9999
187;121;68039;12100068039;0;2012
187;105;6121;10500006121;2013;2016
187;406;3022;40600003022;2017;9999
188;121;68051;12100068051;0;9999
189;121;68082;12100068082;0;2014
189;121;21029;12100021029;2015;9999
190;121;68186;12100068186;0;9999
191;121;69117;12100069117;0;9999
192;121;73027;12100073027;0;9999
193;121;76004;12100076004;0;9999
195;121;77055;12100077055;0;9999
196;121;78018;12100078018;0;2012
196;105;6116;10500006116;2013;2016
196;406;2026;40600002026;2017;9999
197;121;78031;12100078031;0;9999
198;121;78036;12100078036;0;9999
199;121;79017;12100079017;0;9999
200;121;82016;12100082016;0;9999
201;121;83070;12100083070;0;9999
202;121;86025;12100086025;0;9999
203;121;86206;12100086206;0;9999
204;121;87022;12100087022;0;2012
204;105;6122;10500006122;2013;9999
205;121;87028;12100087028;0;2011
205;338;87028;33800087028;2012;2014
205;338;40081;33800040081;2015;9999
206;121;87039;12100087039;0;9999
