Massnahme;Produktbezeichnung;Einheit.Produkt;Lohnkosten Fr./AE;Spezial ja/nein;Bemerkungen;;;
Abbrennen;Basta;l;94;0;Annahme Spritzen;;;
Abbrennen;Glyfos;l;94;0;;;;
Abbrennen;Glyphosate;l;94;0;;;;
Abbrennen;Reglone;l;94;0;;;;
Abbrennen;Valor 2;kg;94;0;;;;
Abbrennen;Toxer total;l;94;0;;;;
Abbrennen;Touchdown System 4;l;94;0;;;;
Abbrennen;Diquat;l;94;0;;;;
Abbrennen;Spotlight Plus;l;94;0;;;;
Abbrennen;;;94;0;;;;
Abbrennen;Mapro;l;94;0;;;;
Abbrennen;Duplosan KV-Combi;l;94;0;;;;
Abbrennen;Roundup;l;94;0;;;;
Abbrennen;Touchdown;l;94;0;;;;
Abbrennen;Insegar DG;kg;94;0;;;;
Abbrennen;Plüsstar;l;94;0;;;;
Abbrennen;Systhane C-WG;kg;94;0;;;;
Abbrennen;Captan 80 WDG;kg;94;0;;;;
Abbrennen;Firebird;l;94;0;;;;
Abbrennen;Kupfer 50;kg;94;0;;;;
Abbrennen;Spotlight;l;94;0;;;;
Abbrennen;Surflan;l;94;0;;;;
Abbrennen;Aramo;l;94;0;;;;
Abbrennen;Consento;l;94;0;;;;
Abbrennen;Diquat Omya;l;94;0;;;;
Abbrennen;Fenikan;l;94;0;;;;
Abbrennen;Glyphosat 360 S;l;94;0;;;;
Abbrennen;Goal;l;94;0;;;;
Abbrennen;Inspire;l;94;0;;;;
Abbrennen;Karate;l;94;0;;;;
Abbrennen;Kupferhydroxyd 50 Hoko;kg;94;0;;;;
Abbrennen;Spray-Oil 7E;l;94;0;;;;
Abbrennen;Stroby WG;kg;94;0;;;;
Abbrennen;Terapur;l;94;0;;;;
Abbrennen;Zolone;l;94;0;;;;
Abbrennen;Acarac;l;94;0;;;;
Abbrennen;Ally SX;kg;94;0;;;;
Abbrennen;Banvel 4 S;l;94;0;;;;
Abbrennen;Break-Thru;l;94;0;;;;
Abbrennen;Fitokil;l;94;0;;;;
Abbrennen;Geramid-neu;l;94;0;;;;
Abbrennen;Glyphosate Spezial;l;94;0;;;;
Abbrennen;Malvin WG;kg;94;0;;;;
Abbrennen;Orkan;l;94;0;;;;
Abbrennen;Oscar;l;94;0;;;;
Abbrennen;Plüvel;l;94;0;;;;
Abbrennen;Roundup Max;l;94;0;;;;
Abbrennen;Veralin CD;l;94;0;;;;
Abdecken mit Stroh;;;;0;keine Infos;;;
Abdeck-Vlies / Folie auslegen;;;;0;keine Infos;;;
Abdeck-Vlies / Folie auslegen;T-Rex;kg;;0;keine Infos;;;
Abflammen;;;720;0;Abflammgerät Kartoffeln;;;
Abflammen;Glyfos;l;94;0;Annahme Spritzen;;;
Abflammen;Spotlight Plus;l;94;0;Annahme Spritzen;;;
Abflammen;Basta;l;94;0;Annahme Spritzen;;;
Abflammen;Eigenes Produkt...Abflammen;l;94;0;Annahme Spritzen;;;
Abflammen;Mapro;l;94;0;Annahme Spritzen;;;
Abflammen;Activa;l;94;0;Annahme Spritzen;;;
Abflammen;Diquat;l;94;0;Annahme Spritzen;;;
Abflammen;Talstar SC;l;94;0;Annahme Spritzen;;;
Abflammen;Targa Super;l;94;0;Annahme Spritzen;;;
Abflammen;Touchdown;l;94;0;Annahme Spritzen;;;
Abflammen;Trifolin;l;94;0;Annahme Spritzen;;;
Abflammen;..;dt;94;0;Annahme Spritzen;;;
Abflammen;Captan WDG;kg;94;0;Annahme Spritzen;;;
Abflammen;Glyphosate;l;94;0;Annahme Spritzen;;;
Abflammen;Puma Extra;l;94;0;Annahme Spritzen;;;
Abflammen;Reglone;l;94;0;Annahme Spritzen;;;
Abflammen;Roundup Ultra;l;94;0;Annahme Spritzen;;;
Abgabe Erntegut;;;;0;keine Infos;;;
Ablesen;Gurken;Stk.;;0;keine Infos;;;
Ablesen;Äpfel, Tafel-;kg;;0;keine Infos;;;
Ablesen;Mostäpfel;kg;;0;keine Infos;;;
Ablesen;Heidelbeeren;kg;;0;keine Infos;;;
Ablesen;Tomaten, guter Ertrag (G);kg;;0;keine Infos;;;
Ablesen;Aubergine (G);kg;;0;keine Infos;;;
Ablesen;Weintrauben;kg;;0;keine Infos;;;
Ablesen;Erdbeeren;kg;;0;keine Infos;;;
Ablesen;;;;0;keine Infos;;;
Ablesen;Burley Tabak (getrocknet);kg;;0;keine Infos;;;
Ablesen;Virginia Tabak (getrocknet);kg;;0;keine Infos;;;
Ablesen;Heil-, Gewürzpflanzen (mehrj.);kg;;0;keine Infos;;;
Ablesen;Zwetschgen, Tafel-;kg;;0;keine Infos;;;
Ablesen;Kirschen, Tafel-;kg;;0;keine Infos;;;
Ablesen;Trauben, Tafel-;kg;;0;keine Infos;;;
Ablesen;Bohnen, Verarbeitungs-;kg;;0;keine Infos;;;
Ablesen;Himbeeren;kg;;0;keine Infos;;;
Ablesen;CCM-Würfel (künstlich getrocknet;dt;;0;keine Infos;;;
Ablesen;Industriekartoffeln;dt;;0;keine Infos;;;
Ablesen;Spargel Grün-;kg;;0;keine Infos;;;
Ablesen;Speisekartoffeln;dt;;0;keine Infos;;;
Ablesen;Birnen, Tafel-;kg;;0;keine Infos;;;
Ablesen;Brombeeren;kg;;0;keine Infos;;;
Ablesen;Erbsen;kg;;0;keine Infos;;;
Ablesen;Erbsen, Verarbeitungs-;kg;;0;keine Infos;;;
Abschlegeln;;;140;0;Schlegelmulcher;;;
Abschlegeln;Diquat;l;140;0;;;;
Abschlegeln;Aallgemeiner Arbeiten;l;140;0;;;;
Abschlegeln;Basta;l;140;0;;;;
Abschlegeln;Chlorothalonil 500;l;140;0;;;;
Abschlegeln;Mais g. Pflanze (frisch);dt;140;0;;;;
Abschlegeln;Rapsstroh (WR);dt;140;0;;;;
Abschlegeln;Gerstenstroh;dt;140;0;;;;
Abschlegeln;Ibiza SC;l;140;0;;;;
Abschlegeln;Mapro;l;140;0;;;;
Abschlegeln;Miros DF;kg;140;0;;;;
Abschlegeln;Reglone;l;140;0;;;;
Abschlegeln;Sonnenblumen (Speiseöl);dt;140;0;;;;
Abschlegeln;Spotlight;l;140;0;;;;
Abschlegeln;Weizenstroh;dt;140;0;;;;
Abschleppen;;;;0;keine Infos;;;
Abschleppen;Aallgemeiner Arbeiten;l;;0;keine Infos;;;
Abschleppen;Spotlight;l;;0;keine Infos;;;
Abschleppen;CCC;l;;0;keine Infos;;;
Abschleppen;Input;l;;0;keine Infos;;;
Abschleppen;Moddus;l;;0;keine Infos;;;
Abschütteln Larven;Touchdown System 4;l;;0;keine Infos;;;
Aeugsteln;Standardmischung 330 (3-jährig);kg;150;0;Ansäen mit Säwalze;;;
Aeugsteln;Colza, semences traitées;Dose;150;0;;;;
Aeugsteln;Eigenes Produkt...;Stk.;150;0;;;;
Aeugsteln;Grasmischung UFA 430;g;150;0;;;;
Aeugsteln;UFA Ensil;Stk.;150;0;;;;
Aeugsteln;Standardmischung 440 (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aeugsteln;;;150;0;;;;
Aeugsteln;Standardmischung 430 (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aeugsteln;Standardmischung 200 (2-jährig);kg;150;0;;;;
Aeugsteln;Standardmischung 240 (2- bis 3-jährig);kg;150;0;;;;
Aeugsteln;Standardmischung 210 (2-jährig);kg;150;0;;;;
Aeugsteln;Standardmischung 230 (2- bis 3-jährig);kg;150;0;;;;
Aeugsteln;Mélange standard 330 (3 ans);kg;150;0;;;;
Aeugsteln;Standardmischung 330 (3-jährig) A;kg;150;0;;;;
Aeugsteln;Grünschnitthafer;dt;150;0;;;;
Aeugsteln;Luzernesaatgut;kg;150;0;;;;
Aeugsteln;Sommerhafer, Saatgut ungebeizt;dt;150;0;;;;
Aeugsteln;Standardmischung 106 (einjährig);kg;150;0;;;;
Aeugsteln;Standardmischung 300 (3-jährig);kg;150;0;;;;
Aeugsteln;Standardmischung 323 (3-jährig);kg;150;0;;;;
Aeugsteln;Standardmischung 340 (3-jährig);kg;150;0;;;;
Aeugsteln;STF 4400 Turbo;kg;150;0;;;;
Aeugsteln;Übersaatenmischung 440;kg;150;0;;;;
Aeugsteln;Mélange standard 323 (3 ans);kg;150;0;;;;
Aeugsteln;OH 462;kg;150;0;;;;
Aeugsteln;Westerwoldisches Raygras Andrea;kg;150;0;;;;
Aeugsteln;Wick-Hafer-Erbsen-Gemenge;dt;150;0;;;;
Aeugsteln;Mélange standard 106 (annuel);kg;150;0;;;;
Aeugsteln;Mélange standard 440 (longue durée);kg;150;0;;;;
Aeugsteln;OH 33 Luzerne Raigras;kg;150;0;;;;
Aeugsteln;Phacelia;kg;150;0;;;;
Aeugsteln;Regina Gold/UFA 200Tetra;kg;150;0;;;;
Aeugsteln;Rotklee Mattenklee Inl.;kg;150;0;;;;
Aeugsteln;Standardmischung 420 (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aeugsteln;Standardmischung 430 Highspeed (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aeugsteln;Standardmischung 450 (extensive Nutzungen);kg;150;0;;;;
Aeugsteln;UFA Queen Gold;kg;150;0;;;;
Aeugsteln;Famosa 40;kg;150;0;;;;
Aeugsteln;HS 4000 Maeh-Weidemischung;kg;150;0;;;;
Aeugsteln;Kunswiese m. Lutzerne.;kg;150;0;;;;
Aeugsteln;Mélange standard 240 (2 à 3 ans);kg;150;0;;;;
Aeugsteln;Mélange standard 450 (utilisation extensive);kg;150;0;;;;
Aeugsteln;OH 330 ML;kg;150;0;;;;
Aeugsteln;phacelia;kg;150;0;;;;
Aeugsteln;Phacélie;kg;150;0;;;;
Aeugsteln;Regina Gold;kg;150;0;;;;
Aeugsteln;Rohrschwingel;kg;150;0;;;;
Aeugsteln;Standardmischung 102 (einjährig);kg;150;0;;;;
Aeugsteln;Standardmischung 108 (einjährig);kg;150;0;;;;
Aeugsteln;Standardmischung 240 ;kg;150;0;;;;
Aeugsteln;STF 4000;kg;150;0;;;;
Aeugsteln;Tarda 33 Grassaatgut;dt;150;0;;;;
Aeugsteln;Tréfle incarnat;kg;150;0;;;;
Aeugsteln;UFA 330 + UFA 430;kg;150;0;;;;
Aeugsteln;UFA 430 A;kg;150;0;;;;
Aeugsteln;UFA 440 AR;kg;150;0;;;;
Aeugsteln;UFA Siloball;kg;150;0;;;;
Aeugsteln;UFA STRUFU;kg;150;0;;;;
Aeugsteln;UFA Weluz;kg;150;0;;;;
Aeugsteln;Westerwoldisches Raigras;kg;150;0;;;;
Aeugsteln;Wintergerste, Saatgut gebeizt;dt;150;0;;;;
Aeugsteln;Wintergrün, Saatgut;kg;150;0;;;;
Aeugsteln;Winterhafer, Saatgut komb. Gebeizt;dt;150;0;;;;
Aeugsteln;Wintertriticale, Saatgut gebeizt;dt;150;0;;;;
Aeugsteln;Winterweizen, Saatgut Arina;dt;150;0;;;;
Aeugsteln;Winterweizen, Saatgut gebeizt;dt;150;0;;;;
Aeugsteln;Futterweizen;;150;0;keine Info;;;
Aeugsteln;Wintergerste;;150;0;;;;
Aeugsteln;Winterhafer;;150;0;;;;
Aeugsteln;Winterweizen;;150;0;;;;
Anzucht Saatbeet;Lauch Samen;1000 Stk.;;0;keine Infos;;;
Anzucht Saatbeet;;;;0;keine Infos;;;
Anzucht Saatbeet;Beizmittel unbekannt;;;0;keine Infos;;;
Anzucht Saatbeet;Sommerhafer;;;0;keine Infos;;;
Auflaufkontrolle;;;;0;keine Infos;;;
Aufräumen;;;;0;keine Infos;;;
Auslauben;;;;0;keine Infos;;;
Auslauben;Amarel-Folpet-DF;kg;;0;keine Infos;;;
Aussaat Hauptkultur;Erdbeere, Pflanzgut;100 Stk.;1280;0;;;;
Aussaat Hauptkultur;Saatkartoffeln, normal;dt;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Saatkartoffeln, normal agria;dt;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Industriekartoffeln;;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Saatkartoffeln;;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Speisekartoffeln;;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Saatkartoffeln, normal jelly;dt;410;0;Kartoffellegeautomat, 4-reihig;;;
Aussaat Hauptkultur;Kartoffelsaatgut Agria / Nicola;Stk.;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln;Stk.;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln klein;dt;410;0;;;;
